Site,BUFF_DIST,RESERVOIR,BORROWPITS,DUGOUT,LAGOON,BORROWPIT-DRY,SUMP,ROAD-UNCLASSIFIED,ROAD-UNIMPROVED,INTERCHANGE-RAMP,ROAD-GRAVEL-1L,ROAD-GRAVEL-2L,ROAD-PAVED-1L,ROAD-PAVED-2L,ROAD-PAVED-DIV,ROAD-PAVED-UNDIV-1L,ROAD-PAVED-UNDIV-2L,ROAD-PAVED-UNDIV-4L,ROAD-UNPAVED-2L,TRUCK-TRAIL,AIRP-RUNWAY,ROAD-UNPAVED-1L,ROAD-PAVED-4L,ROAD-PAVED-3L,RLWY-SGL-TRACK,RLWY-SPUR,CANAL,VEGETATED-EDGE-ROADS,VEGETATED-EDGE-RAILWAYS,GRVL-SAND-PIT,MINES-PITLAKE,MISC-OIL-GAS-FACILITY,FACILITY-UNKNOWN,FACILITY-OTHER,OIL-GAS-PLANT,CLEARING-UNKNOWN,URBAN-INDUSTRIAL,CLEARING-WELLPAD-UNCONFIRMED,WELL-CASED,WELL-GAS,WELL-OIL,WELL-OTHER,TRANSFER_STATION,LANDFILL,RECREATION,GOLFCOURSE,CAMPGROUND,GREENSPACE,SURROUNDING-VEG,RUNWAY,TRANSMISSION-LINE,CFO,RURAL-RESIDENCE,URBAN-RESIDENCE,COUNTRY-RESIDENCE,RESIDENCE_CLEARING,WELL-ABAND,ROUGH_PASTURE,CROP,TAME_PASTURE,FRUIT-VEGETABLES,CUTBLOCK,PRE-LOW-IMPACT-SEISMIC,TRAIL,DISTURB_VEG,PIPELINE
Cell 42,4750,0,0,0,0,0,0,0.001082314,0.003003989,0,0,0,0,0,0.005246114,0.000269545,0.002295953,0,0,4.71E-05,0,0,0,0,0,0,0,0.01015105,0,0,0,0,0,0,0,0,0,0,0,0.000570358,0,0,0,0,0,0,0,0,0,0,0,0,0.007224541,0,0.008590104,0,0,0.008721981,0.000692142,0.012534946,0,0,0.001928696,0.001284239,0,0
Cell 43,4750,0,0,0,0,0,0,0.00134176,0.003224639,0,0,0,0,0,0.00538754,0.000291916,0.003304997,0,0,9.79E-05,0,0,0,0,0,0,0,0.011104047,0,0,0,0,0,0,0,0,0,0,0,0.000780889,0,0,0,0,0,0,0,0,0,7.45E-05,0,0,0.009421373,0,0.009421691,0,0,0.009578829,0.002357236,0.024492456,0,0,0.001628308,0.001455172,0,0
Cell 44,4750,0,0,0.000164734,0.000444793,0,0,0.001365002,0.00264846,0,0.004617009,5.56E-05,0,0,0,0.000210124,0.003267435,0,0,0.000145571,0,0,0,0,0,0,0,0.01385398,0,0,0,0,0.000672077,0.000301069,0,0,0,0,0.00032842,0.001284445,0,0,0,0,0,0.006751605,0.01228394,0,0,0,0.000635984,0,0.009163286,0,0,0,0.002746725,0.033048269,0.217979824,0.054870741,0,0,0.002486289,0.000771161,0,0.0001907
Cell 45,4750,0,0,0.000321642,0.000444793,0,0,0.002739526,0.002339908,0,0.00504836,0.00031908,0,0,0,0.000210124,0.003000207,0,0,0.000175031,0,0,0,0,0,0,0,0.014698457,0,0,0,0,0,0,0,0,0,0,0.00032842,0.000848516,0,0,0,0,0,0.006751605,0.012720339,0,0,0,0,0,0.009825343,0,0.009310207,0,0.002065176,0.076346051,0.071453416,0.037406215,0,0,0.003266093,0.0009486,0,0.000668999
Cell 46,4750,0,0,0.000310204,0,0,0,0.004877916,0.001972428,0,0.005844167,0.000584368,0,0,0,0.001484028,0.002642234,0,0,0.000204962,0,0,0,0,0,0,0,0.017104999,0,0,0,0,0.001129089,0,0,0.000194849,0,0,0,0.001427988,0,0,0,0,0,0.006751605,0.003479536,0,0,0,0.003753772,0,0.014749931,0,0.041888771,0.000526214,0.003016181,0.111818649,0.046678462,0.064010069,0,0,0.003245274,0.000916821,0,0.002449491
Cell 47,4750,0,0,0.000748449,0,0,0,0.00623144,0.001019443,0,0.006077517,0.000695863,0,0,0,0.003048811,0.005186037,0,0,0.000121885,0,0,0,0,0,0,0,0.021722507,0,0,0,0,0.001129089,0,0,0.000946669,0,0,0,0.000607816,0,0,0.000210682,0,0,0,0,0,0,0,0.004803511,0,0.021961156,0,0.072115227,0,0.004752904,0.089664277,0.126308736,0.102890016,0,0,0.003815987,0.000900256,0,0.001075632
Cell 48,4750,0,0,0.00078098,0,0,0,0.005948189,0.002234948,0,0.004800732,0.001049455,0,0,0,0.002351242,0.008958587,0,0,6.47E-05,0,0,0,0,0,0,0,0.029566236,9.41E-06,0,0,0,0,0,0,0,0,0,0,0.000405813,0,0,0.000210682,0,0,0,0.0010138,0,0,0,0.003278134,0,0.030097264,0,0.067790381,0,0.002098015,0.073834236,0.113904904,0.127028699,0,0,0.003534436,0.000875348,0,0.000142075
Cell 49,4750,0,0,0.000683357,0,0,0,0.005310334,0.002413323,0,0.003486518,0.001317505,0,0,0,0.002921619,0.009165272,0,4.45E-05,6.93E-05,0,0,0,0,0.001181358,0,0,0.028093595,0.004987769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000210682,0,0.000257334,0,0.001564455,0,0,0,0,0,0.032933379,0,0.047503877,0,0.001501931,0.056781672,0.058001586,0.172158046,0,0,0.003213881,0.001055362,0,0.000142075
Cell 5,4750,0,0,0.000130196,0.000321209,0,0,0.007367714,0.001450969,0,0.001751276,0.001513744,0,0.000190218,0.000927617,0.004114679,0.013313474,0,0,0,0.00068471,0,0,0,0,0,0,0.024679255,0,0,0,0,0,3.22E-05,0,0,6.99E-05,0,0,0,0,0,0,0,0.00052304,0.016902018,0,0.001650465,0.001953315,0,0.003526481,0,0.037991947,0.001015082,0.074886078,1.35E-05,0.001748323,0.049137934,0.022049361,0.265497396,0,0,0.002428719,0.000792116,0,0
Cell 50,4750,0,6.52E-05,0.000411608,0,0,0,0.00526266,0.001511016,0,0.003646989,0.001116395,0,0,0,0.002863792,0.006284424,0,3.33E-05,5.33E-05,0,0,0,0,0.001334287,0,0,0.02170012,0.005053838,0,0,0,0,0,0,0,0,0,0,0.00048691,0,0,0,0,0.000257334,0,0,0,0,0,0,0,0.026370839,0,0.041554143,0,0.001892803,0.033923281,4.89E-05,0.231860425,0,0,0.002954718,0.00152019,0.01011038,0.000816678
